"","gender","age","class","embarked","country","fare","sibsp","parch","survived","ageD","status","family"
"38","female",11,"3rd","S","Sweden",31.0506,4,2,"no","10-19","1",7
"39","male",39,"3rd","S","Sweden",31.0506,1,5,"no","30-39","1",7
"40","male",26,"3rd","S","Sweden",7.1506,0,0,"no","20-29","1",1
"41","female",39,"3rd","S","Sweden",31.0506,1,5,"no","30-39","1",7
"42","male",20,"3rd","S","Sweden",7.1701,0,0,"no","10-19","1",1
"43","male",17,"2nd","S","Argentina",11.1,0,0,"no","10-19","1",1
"44","male",27,"2nd","S","England",10.1,0,0,"no","20-29","1",1
"45","female",62,"1st","C","United States",77.1902,1,0,"yes","60-69","1",2
"46","male",39,"1st","B","Northern Ireland",NA,0,0,"no","30-39","0",1
"47","male",26,"3rd","S","Bulgaria",7.1711,0,0,"no","20-29","1",1
"48","female",36,"2nd","S","England",26,1,0,"yes","30-39","1",2
"49","male",31,"2nd","S","England",26,1,0,"no","30-39","1",2
"50","female",53,"1st","S","United States",51.0907,2,0,"yes","50-59","1",3
"51","male",25,"3rd","S","Switzerland",17.16,1,0,"no","20-29","1",2
"52","female",18,"3rd","S","Switzerland",17.16,1,0,"no","10-19","1",2
"53","male",25,"3rd","S","Sweden",7.1506,0,0,"no","20-29","1",1
"54","male",71,"1st","C","Argentina",49.1001,0,0,"no","70-79","1",1
"55","male",57,"2nd","S","England",13,0,0,"no","50-59","1",1
"56","male",35,"3rd","S","Argentina",7.01,0,0,"no","30-39","1",1
"57","male",5,"3rd","S","Sweden",31.0709,4,2,"no","0-9","1",7
"58","male",9,"3rd","S","Sweden",31.0709,4,2,"no","0-9","1",7
"59","male",3,"3rd","S","Sweden",31.0709,4,2,"yes","0-9","1",7
"60","male",13,"3rd","S","Sweden",31.0709,4,2,"no","10-19","1",7
"61","female",5,"3rd","S","Sweden",31.0709,4,2,"yes","0-9","1",7
"62","male",40,"3rd","S","Sweden",31.0709,1,5,"no","30-39","1",7
"63","male",13,"3rd","S","Sweden",7.1511,0,0,"yes","10-19","1",1
"64","female",38,"3rd","S","Sweden",31.0709,1,5,"yes","30-39","1",7
"65","female",45,"3rd","C","Lebanon",7.0406,0,0,"yes","40-49","1",1
"66","male",23,"3rd","S","Argentina",7.01,0,0,"no","20-29","1",1
"67","male",47,"1st","C","United States",247.1006,1,0,"no","40-49","1",2
"68","female",18,"1st","C","United States",247.1006,1,0,"yes","10-19","1",2
"69","female",17,"3rd","C","Lebanon",14.0902,0,0,"no","10-19","1",1
"70","male",27,"3rd","C","Canada",7.0406,0,0,"no","20-29","1",1
"71","female",24,"1st","C","France",69.06,0,0,"yes","20-29","1",1
"72","male",23,"3rd","S","Sweden",7.1701,0,0,"no","20-29","1",1
"73","female",15,"3rd","C","Lebanon",7.0407,0,0,"yes","10-19","1",1
"74","male",32,"3rd","S","Finland",15.17,1,0,"no","30-39","1",2
"75","female",33,"3rd","S","Finland",15.17,3,0,"yes","30-39","1",4
"76","female",3,"3rd","C","Lebanon",19.0502,2,1,"yes","0-9","1",4
"77","female",0.75,"3rd","C","Lebanon",19.0502,2,1,"yes","0-9","1",4
"78","female",5,"3rd","C","Lebanon",19.0502,2,1,"yes","0-9","1",4
"79","female",23,"3rd","C","Lebanon",19.0502,0,3,"yes","20-29","1",4
"80","female",18,"3rd","S","England",8.01,0,0,"yes","10-19","1",1
"81","male",40,"3rd","C","Lebanon",7.0406,0,0,"no","30-39","1",1
"82","male",18,"2nd","S","England",11.1,0,0,"no","10-19","1",1
"83","male",22,"2nd","S","Channel Islands",10.1,0,0,"no","20-29","1",1
"84","male",26,"3rd","S","Bosnia",7.1711,0,0,"no","20-29","1",1
"85","female",36,"2nd","S","England",13,0,0,"yes","30-39","1",1
"86","male",28,"2nd","S","England",10.1,0,0,"no","20-29","1",1
"87","female",31,"3rd","S","Hungary",8.1308,0,0,"yes","30-39","1",1
"88","female",18,"3rd","C","Lebanon",14.0901,0,1,"no","10-19","1",2
"89","female",45,"3rd","C","Lebanon",14.0901,0,1,"no","40-49","1",2
"90","female",27,"1st","S","England",78.17,0,0,"yes","20-29","1",1
"91","male",47,"1st","S","England",30,0,0,"yes","40-49","1",1
"92","female",33,"3rd","Q","Ireland",7.1707,0,0,"no","30-39","1",1
"93","male",22,"3rd","S","England",8.01,0,0,"no","20-29","1",1
"94","female",32,"1st","C","Italy",76.051,0,0,"yes","30-39","1",1
"95","male",52,"2nd","S","England",12.1006,0,0,"no","50-59","1",1
"96","male",23,"3rd","S","Bulgaria",7.1711,0,0,"no","20-29","1",1
"97","male",60,"1st","C","United States",25.1806,0,0,"no","50-59","1",1
"98","male",24,"1st","C","Canada",247.1005,0,1,"no","20-29","1",2
"99","female",50,"1st","C","Canada",247.1005,0,1,"yes","40-49","1",2
"100","male",32,"2nd","S","England",26,1,0,"yes","30-39","1",2
"101","female",22,"2nd","S","England",26,1,0,"yes","20-29","1",2
"102","male",36,"1st","S","Canada",75.041,0,0,"no","30-39","1",1
"103","male",44,"2nd","S","England",26,0,0,"no","40-49","1",1
"104","male",20,"3rd","S","England",8.01,0,0,"no","10-19","1",1
"105","male",1,"2nd","S","India",39,2,1,"yes","0-9","1",4
"106","female",4,"2nd","S","India",39,2,1,"yes","0-9","1",4
"107","female",12,"2nd","S","India",39,2,1,"yes","10-19","1",4
"108","female",35,"2nd","S","United States",39,0,3,"yes","30-39","1",4
"109","male",37,"1st","S","United States",52.1101,1,1,"yes","30-39","1",3
"110","female",46,"1st","S","United States",52.1101,1,1,"yes","40-49","1",3
"111","male",34,"2nd","S","England",13,0,0,"yes","30-39","1",1
"112","male",26,"1st","C","United States",30,0,0,"yes","20-29","1",1
"113","male",26,"3rd","S","Sweden",7.1506,0,0,"no","20-29","1",1
"114","female",19,"2nd","S","United States",13,0,0,"yes","10-19","1",1
"115","male",22,"3rd","S","Finland",9.07,0,0,"no","20-29","1",1
"116","male",23,"2nd","S","England",13,0,0,"no","20-29","1",1
"117","female",39,"1st","C","United States",63.0702,0,0,"yes","30-39","1",1
"118","female",46,"1st","C","England",247.1006,0,0,"yes","40-49","1",1
"119","male",32,"3rd","S","England",56.0911,0,0,"yes","30-39","1",1
"120","female",31,"1st","S","England",221.1507,0,0,"yes","30-39","1",1
"121","male",21,"3rd","S","Norway",7.1506,0,0,"no","20-29","1",1
"122","male",24,"1st","C","England",26,0,0,"no","20-29","1",1
"123","male",25,"1st","C","United States",91.0107,1,0,"yes","20-29","1",2
"124","female",19,"1st","C","United States",91.0107,1,0,"yes","10-19","1",2
"125","male",18,"3rd","S","Sweden",7.15,0,0,"no","10-19","1",1
"126","male",28,"1st","S","Sweden",26.11,0,0,"yes","20-29","1",1
"127","male",45,"1st","S","United States",35.1,0,0,"no","40-49","1",1
"128","male",39,"1st","C","United States",31,0,0,"yes","30-39","1",1
"129","female",30,"1st","S","United States",164.1704,0,0,"yes","20-29","1",1
"130","female",61,"1st","S","England",26.11,0,0,"yes","60-69","1",1
"131","male",41,"1st","S","England",26.11,0,0,"no","40-49","1",1
"132","male",26,"3rd","S","England",7.1711,0,0,"no","20-29","1",1
"133","male",25,"2nd","S","United States",13,0,0,"no","20-29","1",1
"134","female",40,"3rd","Q","Ireland",7.15,0,2,"no","30-39","1",3
"135","male",42,"3rd","Q","Ireland",15.1,1,1,"no","40-49","1",3
"136","female",32,"3rd","Q","Ireland",15.1,1,1,"no","30-39","1",3
"137","female",45,"1st","C","United States",262.0706,0,0,"yes","40-49","1",1
"138","male",26,"3rd","S","Wales",16.02,0,0,"no","20-29","1",1
"139","male",42,"2nd","S","England",13,0,0,"no","40-49","1",1
"140","female",22,"1st","S","England",55,0,1,"yes","20-29","1",2
"141","male",30,"2nd","S","United States",13,0,0,"no","20-29","1",1
"142","female",22,"3rd","Q","Ireland",7.1406,0,0,"yes","20-29","1",1
"143","male",41,"1st","S","United States",30.1,0,0,"no","40-49","1",1
"144","female",20,"3rd","S","Sweden",7.1701,0,0,"no","10-19","1",1
"145","male",24,"2nd","S","England",NA,NA,NA,"no","20-29","0",NA
"146","male",48,"1st","C","United States",50.0911,0,0,"no","40-49","1",1
"147","male",29,"3rd","S","England",7,1,0,"no","20-29","1",2
"148","male",23,"3rd","S","England",7.05,1,0,"no","20-29","1",2
"149","male",37,"1st","S","United States",26.11,0,0,"yes","30-39","1",1
"150","male",46,"1st","C","United States",39.12,0,0,"no","40-49","1",1
"151","male",20,"2nd","S","France",NA,NA,NA,"no","10-19","0",NA
"152","male",32,"2nd","S","England",13,0,0,"no","30-39","1",1
"153","male",22,"3rd","S","Sweden",7.1511,0,0,"no","20-29","1",1
"154","male",40,"3rd","S","England",8.01,0,0,"no","30-39","1",1
"155","female",18,"2nd","S","England",13,0,0,"yes","10-19","1",1
"156","female",15,"2nd","S","South Africa",39,0,2,"yes","10-19","1",3
"157","female",59,"1st","S","United States",51.0907,2,0,"yes","50-59","1",3
"158","female",40,"2nd","S","South Africa",39,1,1,"yes","30-39","1",3
"159","female",44,"1st","C","United States",27.1405,0,0,"yes","40-49","1",1
"160","male",60,"2nd","S","South Africa",39,1,1,"no","50-59","1",3
"161","female",20,"2nd","S","Sweden",26,1,0,"yes","10-19","1",2
"162","male",25,"2nd","S","Sweden",26,1,0,"no","20-29","1",2
"163","female",22,"3rd","Q","Ireland",7.0508,0,0,"no","20-29","1",1
"164","male",21,"3rd","Q","Ireland",7.1517,0,0,"yes","20-29","1",1
"165","female",58,"1st","C","India",76.051,0,0,"yes","50-59","1",1
"166","male",7,"3rd","C","Lebanon",15.0411,1,1,"no","0-9","1",3
"167","female",10,"3rd","C","Lebanon",15.0411,1,1,"no","0-9","1",3
"168","female",40,"3rd","C","Lebanon",15.0411,0,2,"no","30-39","1",3
"169","male",19,"3rd","Q","Ireland",6.15,0,0,"no","10-19","1",1
"170","female",41,"1st","C","England",134.1,0,0,"yes","40-49","1",1
"171","female",17,"3rd","Q","Ireland",7.1707,0,0,"no","10-19","1",1
"172","female",36,"2nd","S","England",13,0,0,"yes","30-39","1",1
"173","male",26,"2nd","S","England",13,0,0,"no","20-29","1",1
"174","male",21,"3rd","C","Lebanon",7.0407,0,0,"no","20-29","1",1
"175","male",46,"1st","S","United States",26.11,0,0,"no","40-49","1",1
"176","male",42,"2nd","S","England",13,0,0,"no","40-49","1",1
"177","female",40,"2nd","S","United States",13,0,0,"yes","30-39","1",1
"178","female",21,"3rd","S","Croatia (Modern)",8.1303,0,0,"no","20-29","1",1
"179","female",30,"3rd","S","Croatia (Modern)",8.1303,0,0,"no","20-29","1",1
"180","male",18,"3rd","S","Croatia (Modern)",8.1303,0,0,"no","10-19","1",1
"181","male",38,"3rd","S","Croatia (Modern)",8.1303,0,0,"no","30-39","1",1
"182","male",28,"1st","S","Scotland",31,0,0,"no","20-29","1",1
"183","male",42,"1st","S","United States",26.0509,0,0,"yes","40-49","1",1
"184","male",0.8333333333,"2nd","S","Siam",29,0,2,"yes","0-9","1",3
"185","male",26,"2nd","S","Siam",29,1,1,"yes","20-29","1",3
"186","female",28,"2nd","S","United States",29,1,1,"yes","20-29","1",3
"187","male",17,"3rd","S","Croatia (Modern)",8.1303,0,0,"no","10-19","1",1
"188","male",17,"3rd","S","Croatia (Modern)",8.1303,0,0,"no","10-19","1",1
"189","female",35,"2nd","S","England",21,0,0,"yes","30-39","1",1
"190","male",21,"2nd","B","Northern Ireland",NA,0,0,"no","20-29","0",1
"191","female",22,"3rd","Q","Ireland",7.15,0,0,"no","20-29","1",1
"192","male",21,"3rd","Q","Ireland",7.15,0,0,"no","20-29","1",1
"193","female",52,"1st","C","United States",27.0811,0,0,"yes","50-59","1",1
"194","male",29,"3rd","S","England",8.01,0,0,"no","20-29","1",1
"195","male",28,"3rd","C","Canada",14.0902,1,0,"no","20-29","1",2
"196","female",18,"3rd","C","Lebanon",14.0902,1,0,"no","10-19","1",2
"197","male",19,"2nd","S","England",13,0,0,"no","10-19","1",1
"198","female",58,"1st","C","United States",512.0607,0,1,"yes","50-59","1",2
"199","male",36,"1st","C","United States",512.0607,0,1,"yes","30-39","1",2
"200","male",28,"3rd","S","Sweden",7.1511,0,0,"no","20-29","1",1
"201","male",24,"3rd","S","Sweden",7.1701,0,0,"no","20-29","1",1
"202","male",33,"1st","S","United States",5,0,0,"no","30-39","1",1
"203","male",17,"1st","S","Uruguay",47.02,0,0,"no","10-19","1",1
"204","male",27,"1st","S","Uruguay",47.02,0,0,"no","20-29","1",1
"205","female",45,"3rd","Q","Ireland",7.15,0,0,"no","40-49","1",1
"206","male",54,"2nd","S","England",26,1,0,"no","50-59","1",2
"207","male",11,"1st","S","United States",120,1,2,"yes","10-19","1",4
"208","female",13,"1st","S","United States",120,1,2,"yes","10-19","1",4
"209","female",45,"2nd","S","England",26,1,0,"no","40-49","1",2
"210","female",36,"1st","S","United States",120,1,2,"yes","30-39","1",4
"211","male",36,"1st","S","United States",120,1,2,"yes","30-39","1",4
"212","male",28,"3rd","S","England",7.05,0,0,"no","20-29","1",1
"213","male",49,"1st","S","United States",26,0,0,"no","40-49","1",1
"214","female",36,"1st","C","United States",27.1405,0,0,"yes","30-39","1",1
"215","female",25,"1st","S","United States",78.17,1,0,"yes","20-29","1",2
"216","male",36,"1st","S","England",78.17,1,0,"no","30-39","1",2
"217","male",24,"3rd","S","England",8.01,0,0,"no","20-29","1",1
"218","male",46,"1st","S","United States",61.0306,1,0,"no","40-49","1",2
"219","female",47,"1st","S","United States",61.0306,1,0,"yes","40-49","1",2
"220","male",27,"1st","S","United States",53.02,1,0,"yes","20-29","1",2
"221","female",32,"1st","S","United States",53.02,1,0,"yes","30-39","1",2
"222","male",52,"2nd","S","United States",13.1,0,0,"no","50-59","1",1
"223","male",37,"2nd","S","England",26,1,0,"no","30-39","1",2
"224","female",29,"2nd","S","England",26,1,0,"no","20-29","1",2
"225","male",20,"3rd","Q","Ireland",7.1408,0,0,"no","10-19","1",1
"226","female",36,"1st","C","England",262.0706,0,0,"yes","30-39","1",1
"227","female",30,"1st","S","England",86.1,0,0,"yes","20-29","1",1
"228","male",45,"1st","C","Belgium",29.14,0,0,"yes","40-49","1",1
"229","female",48,"1st","S","England",55,0,1,"yes","40-49","1",2
"230","male",32,"3rd","S","England",56.0911,0,0,"yes","30-39","1",1
"231","male",43,"1st","B","Scotland",NA,0,0,"no","40-49","0",1
"232","male",29,"3rd","S","England",8.01,0,0,"no","20-29","1",1
"233","female",25,"2nd","S","England",30,1,1,"yes","20-29","1",3
"234","female",52,"2nd","S","England",30,0,2,"yes","50-59","1",3
"235","male",26,"3rd","C","England",14.0901,1,0,"no","20-29","1",2
"236","male",21,"3rd","C","England",14.0901,1,0,"no","20-29","1",2
"237","male",29,"2nd","S","England",26,1,0,"no","20-29","1",2
"238","male",28,"2nd","S","England",NA,NA,NA,"no","20-29","0",NA
"239","female",28,"2nd","S","England",27,1,0,"yes","20-29","1",2
"240","female",26,"1st","C","United States",136.1507,1,0,"yes","20-29","1",2
"241","male",27,"1st","C","United States",136.1507,1,0,"no","20-29","1",2
"242","female",22,"1st","S","England",151.16,0,0,"yes","20-29","1",1
"243","male",40,"1st","S","United States",52,0,0,"no","30-39","1",1
"244","male",20,"3rd","S","England",7.01,0,0,"no","10-19","1",1
"245","male",18,"3rd","S","England",8.01,0,0,"yes","10-19","1",1
"246","male",24,"3rd","Q","Ireland",7.05,0,0,"no","20-29","1",1
"247","male",24,"3rd","S","Bulgaria",7.1711,0,0,"no","20-29","1",1
"248","male",29,"2nd","S","England",10.1,0,0,"no","20-29","1",1
"249","male",27,"2nd","S","Finland",13,0,0,"no","20-29","1",1
"250","male",25,"2nd","S","England",10.1,0,0,"yes","20-29","1",1
"251","male",37,"1st","S","Ireland",25.1109,0,0,"no","30-39","1",1
"252","female",8,"2nd","S","England",26.05,0,2,"yes","0-9","1",3
"253","male",31,"2nd","S","England",26.05,1,1,"no","30-39","1",3
"254","female",30,"2nd","S","England",26.05,1,1,"yes","20-29","1",3
"255","male",36,"3rd","S","Bulgaria",7.1711,0,0,"no","30-39","1",1
"256","female",39,"1st","C","United States",83.0302,1,1,"yes","30-39","1",3
"257","male",37,"1st","C","United States",83.0302,1,1,"no","30-39","1",3
"258","female",64,"1st","C","United States",83.0302,0,2,"yes","60-69","1",3
"259","male",31,"3rd","Q","United States",7.1408,0,0,"no","30-39","1",1
"260","male",40,"3rd","Q","Ireland",7.15,0,0,"no","30-39","1",1
"261","female",23,"3rd","Q","Ireland",7.15,0,0,"yes","20-29","1",1
"262","female",41,"3rd","Q","Ireland",7.1207,0,0,"no","40-49","1",1
"263","male",66,"3rd","Q","Ireland",7.15,0,0,"no","60-69","1",1
"264","male",43,"3rd","S","England",8.01,0,0,"no","40-49","1",1
"265","female",22,"2nd","S","England",10.1,0,0,"yes","20-29","1",1
"266","female",30,"2nd","S","United States",13,0,0,"no","20-29","1",1
"267","female",32,"2nd","S","England",21,0,0,"no","30-39","1",1
"268","male",35,"3rd","S","Croatia (Modern)",7.1711,0,0,"no","30-39","1",1
"269","male",27,"3rd","S","Hungary",7.1711,0,0,"no","20-29","1",1
"270","male",19,"3rd","S","Hungary",7.1711,0,0,"no","10-19","1",1
"271","male",30,"3rd","S","Poland",8.01,0,0,"no","20-29","1",1
"272","female",55,"1st","S","United States",25.141,2,0,"yes","50-59","1",3
"273","female",16,"3rd","Q","Ireland",7.15,0,0,"yes","10-19","1",1
"274","male",21,"2nd","S","England",11.1,0,0,"no","20-29","1",1
"275","male",3,"3rd","S","England",15.18,1,1,"yes","0-9","1",3
"276","male",9,"3rd","S","England",15.18,1,1,"yes","0-9","1",3
"277","female",36,"3rd","S","England",15.18,0,2,"yes","30-39","1",3
"278","male",58,"3rd","S","England",7.05,0,0,"no","50-59","1",1
"279","male",59,"1st","S","United States",26.11,0,0,"no","50-59","1",1
"280","male",20,"3rd","S","United States",8.0302,0,0,"no","10-19","1",1
"281","female",16,"3rd","S","United States",16.02,0,1,"yes","10-19","1",2
"282","male",43,"3rd","S","Australia",16.02,0,1,"no","40-49","1",2
"283","male",70,"1st","S","United States",71,1,1,"no","60-69","1",3
"284","female",39,"1st","S","United States",26.11,0,2,"yes","30-39","1",3
"285","female",64,"1st","S","United States",71,1,1,"yes","60-69","1",3
"286","male",17,"3rd","S","Croatia (Modern)",8.1303,0,0,"no","10-19","1",1
"287","male",39,"1st","C","United States",71.0508,1,0,"no","30-39","1",2
"288","female",35,"1st","C","Peru",71.0508,1,0,"yes","30-39","1",2
"289","male",22,"2nd","B","Northern Ireland",NA,0,0,"no","20-29","0",1
"290","male",28,"3rd","C","England",7.0407,0,0,"no","20-29","1",1
"291","female",22,"3rd","S","Sweden",10.1004,0,0,"no","20-29","1",1
"292","male",45,"3rd","S","England",8.01,0,0,"yes","40-49","1",1
"293","male",19,"3rd","S","England",10.0305,0,0,"no","10-19","1",1
"294","female",33,"3rd","Q","Ireland",6.19,0,0,"yes","30-39","1",1
"295","male",29,"3rd","Q","Ireland",7.15,0,0,"yes","20-29","1",1
"296","male",51,"1st","S","England",26.11,0,0,"yes","50-59","1",1
"297","male",0.3333333333,"3rd","S","Sweden",14.08,0,2,"no","0-9","1",3
"298","male",34,"3rd","S","Sweden",14.08,1,1,"no","30-39","1",3
"299","female",28,"3rd","S","Sweden",14.08,1,1,"no","20-29","1",3
"300","male",27,"1st","S","United States",30.1,0,0,"yes","20-29","1",1
"301","female",36,"1st","S","England",151.16,0,0,"yes","30-39","1",1
"302","male",27,"3rd","S","England",7.1711,0,0,"no","20-29","1",1
"303","female",27,"1st","C","Canada",52,1,2,"yes","20-29","1",4
"304","male",31,"1st","C","Canada",52,1,0,"no","30-39","1",2
"305","male",8,"2nd","S","England",36.15,1,1,"yes","0-9","1",3
"306","male",24,"3rd","S","England",24.03,2,0,"no","20-29","1",3
"307","male",19,"2nd","S","England",73.1,0,0,"no","10-19","1",1
"308","male",22,"3rd","S","Wales",8.01,0,0,"no","20-29","1",1
"309","male",22,"3rd","S","England",24.03,2,0,"no","20-29","1",3
"310","male",17,"3rd","S","England",8.01,2,0,"no","10-19","1",3
"311","female",48,"2nd","S","England",36.15,0,2,"yes","40-49","1",3
"312","female",28,"2nd","S","England",13,0,0,"yes","20-29","1",1
"313","female",34,"3rd","S","England",16.02,1,0,"yes","30-39","1",2
"314","male",32,"3rd","S","England",16.02,1,0,"no","30-39","1",2
"315","male",18,"2nd","S","England",73.1,0,0,"no","10-19","1",1
"316","male",1,"3rd","S","England",20.1106,1,2,"yes","0-9","1",4
"317","female",0.1666666667,"3rd","S","England",20.1106,1,2,"yes","0-9","1",4
"318","male",25,"3rd","S","England",20.1106,1,2,"no","20-29","1",4
"319","female",32,"3rd","S","England",20.1106,1,2,"yes","30-39","1",4
"320","male",25,"3rd","S","Bosnia",7.1711,0,0,"no","20-29","1",1
"321","female",24,"2nd","C","Italy",27.1405,1,0,"yes","20-29","1",2
"322","male",29,"2nd","C","Italy",27.1405,1,0,"no","20-29","1",2
"323","male",36,"3rd","S","United States",17.08,1,0,"yes","30-39","1",2
"324","female",36,"3rd","S","United States",17.08,1,0,"yes","30-39","1",2
"325","male",30,"3rd","S","Belgium",9.1,0,0,"yes","20-29","1",1
"326","male",25,"2nd","S","Channel Islands",31.1,0,0,"no","20-29","1",1
"327","male",30,"3rd","S","England",7.1711,0,0,"no","20-29","1",1
"328","male",22,"3rd","S","England",7.05,0,0,"no","20-29","1",1
"329","male",26,"3rd","S","England",7.05,0,0,"no","20-29","1",1
"330","male",16,"3rd","S","Belgium",9.1,0,0,"no","10-19","1",1
"331","female",19,"3rd","Q","Ireland",7.1707,0,0,"yes","10-19","1",1
"332","male",18,"2nd","S","England",73.1,0,0,"no","10-19","1",1
"333","male",31,"1st","S","Canada",57,1,0,"yes","30-39","1",2
"334","female",17,"1st","S","United States",57,1,0,"yes","10-19","1",2
"335","male",17,"3rd","S","Croatia (Modern)",7.1711,0,0,"no","10-19","1",1
"336","male",42,"3rd","S","Hungary",8.1303,0,0,"no","40-49","1",1
"337","male",43,"3rd","S","England",7.1711,0,0,"no","40-49","1",1
"338","male",52,"1st","S","United States",81.1702,1,1,"yes","50-59","1",3
"339","male",4,"1st","S","United States",81.1702,0,2,"yes","0-9","1",3
"340","female",34,"1st","S","United States",81.1702,1,1,"yes","30-39","1",3
"341","female",18,"2nd","S","England",23,0,1,"yes","10-19","1",2
"342","female",34,"2nd","S","England",23,0,1,"yes","30-39","1",2
"343","female",21,"3rd","Q","Ireland",7.15,0,0,"no","20-29","1",1
"344","male",37,"3rd","Q","Ireland",7.15,0,0,"no","30-39","1",1
"345","male",18,"3rd","S","England",8.01,0,0,"yes","10-19","1",1
"346","male",22,"3rd","Q","Ireland",8.0902,0,0,"no","20-29","1",1
"347","female",48,"1st","C","United States",106.0806,1,0,"yes","40-49","1",2
"348","female",27,"1st","C","Canada",247.1005,1,1,"yes","20-29","1",3
"349","male",50,"1st","C","United States",106.0806,1,0,"no","40-49","1",2
"350","male",55,"2nd","S","England",26,0,0,"no","50-59","1",1
"351","female",31,"3rd","S","United States",12.0906,0,0,"yes","30-39","1",1
"352","female",28,"3rd","Q","Ireland",7.15,0,0,"no","20-29","1",1
"353","male",33,"3rd","C","Croatia (Modern)",7.1711,0,0,"no","30-39","1",1
"354","male",8,"2nd","S","United States",32.1,0,2,"yes","0-9","1",3
"355","male",42,"2nd","S","England",32.1,1,1,"no","40-49","1",3
"356","female",34,"2nd","S","United States",32.1,1,1,"yes","30-39","1",3
"357","female",27,"3rd","Q","Ireland",7.15,0,0,"yes","20-29","1",1
"358","female",24,"3rd","S","England",8.01,0,0,"yes","20-29","1",1
"359","female",48,"1st","C","England",56.1807,1,0,"yes","40-49","1",2
"360","male",49,"1st","C","England",39.12,1,0,"yes","40-49","1",2
"361","male",39,"1st","C","United States",29.14,0,0,"no","30-39","1",1
"362","male",24,"3rd","S","Channel Islands",7.11,0,0,"yes","20-29","1",1
"363","female",27,"2nd","C","Spain",13.1702,1,0,"yes","20-29","1",2
"364","female",30,"2nd","C","Spain",13.1702,1,0,"yes","20-29","1",2
"365","male",65,"3rd","Q","Ireland",7.15,0,0,"no","60-69","1",1
"366","male",23,"3rd","S","United States",13.18,1,0,"no","20-29","1",2
"367","female",22,"3rd","S","United States",13.18,1,0,"yes","20-29","1",2
"368","female",23,"1st","C","United States",83.0302,0,1,"yes","20-29","1",2
"369","male",18,"3rd","S","Sweden",7.1506,0,0,"no","10-19","1",1
"370","male",25,"2nd","S","United States",13,0,0,"no","20-29","1",1
"371","male",16,"3rd","S","Sweden",7.1506,0,0,"no","10-19","1",1
"372","male",45,"3rd","S","Sweden",6.1906,0,0,"no","40-49","1",1
"373","male",29,"3rd","C","England",7.0406,0,0,"no","20-29","1",1
"374","male",15,"3rd","C","Lebanon",7.0407,1,1,"no","10-19","1",3
"375","male",22,"3rd","C","Lebanon",7.0407,1,1,"no","20-29","1",3
